"variable","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"z_55",-0.0149926006198371,0.111178535165532,-0.0249908811575128,0.0219440664795118,0.0127728182984332,-0.0281688618455897,0.0368025558982132,-0.0292386128891911,0.012443803806828,-0.0498787278162068
"z_56",0.0588240925264158,-0.0371893601854483,-0.00900926584871631,-0.0188045287217914,0.0781576002034989,-0.0216699902281561,0.017684769179565,-0.00600310634521559,-0.0375839067980811,0.0197839367408719
"z_57",-0.0188225277333169,0.0214461380661009,0.0260641162348095,0.0564597179353055,-0.0329238298674573,-0.078235158897457,-6.18398080664678e-05,-0.00648212286696389,0.082136022770379,-0.00508137139551297
"z_58",0.0741884740305909,0.0806499168723251,-0.0187434874914067,0.00488678388159912,0.0195014085906067,-0.0124624282352601,0.0266927631625652,0.0768954046419159,-0.0183436923715004,0.0155531260249727
"z_59",0.00324269323390755,-0.0366677564685347,-0.0586661531848741,0.0703353540924375,0.0254404157655118,0.0045597146934342,0.0348098448813636,0.0207959776254936,-0.0468590767561157,-0.0542648172365625
"z_60",0.0859293568673361,-0.0129886379450095,-0.0301351017206359,0.00534343214199245,0.0131332196398673,-0.0266393852529286,0.0208912278238563,0.00765875668875764,-0.00906436400890339,0.0975296547005039
"z_61",0.0485615265689745,-0.0350782685228232,-0.0227519645527,-0.00912194053334681,-0.0901268641219597,0.0769843907188598,-0.057012224995776,-0.0474220725639684,0.0104684060348066,-0.00390828940001163
"z_62",0.0459973592823639,0.00940677693528746,0.000859384375882981,-0.0216595893364611,-0.0628667393960985,0.023014903290004,-0.0551408931102078,0.0535261970859567,-0.0237502679127908,0.0200368661997002
"z_63",0.0224990643506483,0.0194233917169409,-0.0222947557903382,0.0743032885444026,0.0450810720078018,0.0647766623329958,0.00413034933774551,0.0483178326187661,-0.0312828292260673,0.0637846597618445
"z_64",-0.0736835940646275,-0.0471011363007227,-0.0729255973112152,-0.0260174715604812,0.0120620582059942,0.0199229826246428,0.0759046533775815,-0.00195312025312178,0.0212391968962296,0.0348447557654099
