"variable","center","scale"
"z_279",0.0439027348337789,1.05814443837064
"z_280",-0.0714569262577341,1.12038074910366
"z_281",-0.030166196024304,1.11043636608403
"z_282",4.70334911384954e-05,1.07901286100733
"z_283",-0.0713064650839848,1.38836527758684
"z_284",-0.0271700309289118,1.1532068531527
"z_285",-0.0619598163553802,1.27515168038267
"z_286",-0.0367624984302393,1.21901299546371
"z_287",0.0403797713701907,1.18224648478643
"z_288",0.0949491442605256,1.34798690925762
"z_289",-0.0646391868258576,1.21059430683101
"z_290",-0.0418527874377218,0.88596757326142
"z_291",-0.0441959880359931,0.982001921293976
"z_292",-0.00393119016942319,1.25435988549072
"z_293",-0.000363526266846794,1.19754773280297
"z_294",-0.042894455509472,1.11029627669178
"z_295",0.0423041083955038,1.0172659398601
"z_296",-0.0487782835184101,1.21002720173456
"z_297",0.00457740652582814,1.01616872640907
"z_298",0.0529514258987202,1.06023445805108
"z_299",-0.0380953552898462,1.20897760219039
"z_300",-0.079390666611439,1.18848446222184
"z_301",-0.0117205015537889,1.09632819302926
"z_302",-0.0491936824744557,0.983463996722172
"z_303",-0.0178854938281373,1.06134271892251
"z_304",-0.0059497012149904,1.10146479986944
"z_305",-0.0271820963189464,1.2145413901556
"z_306",0.0171541529643559,1.18388452739869
"z_307",-0.0234585296524836,1.14619227370858
"z_308",-0.113368397669715,1.14665909868467
"z_309",0.00352168948007263,1.2782900432317
"z_310",0.0244209651165392,1.12266061555439
"z_311",0.0440925941857871,1.34557031197536
"z_312",-0.0143840671212835,1.16548640462273
"z_313",-0.0496357116946695,0.964117137120198
"z_314",-0.0703249871843778,1.03237534584171
"z_315",0.121147943191089,1.31631155180297
"z_316",0.0516931679425403,1.30278043881863
"z_317",0.00901408376793336,0.853593932846814
"z_318",-0.054339755108868,1.04651768749354
"z_319",-0.0237709091686085,1.17167503168032
"z_320",0.0387969901145073,1.15782325222046
"z_321",-0.00605089468160107,1.1850928750522
"z_322",0.0273522340733499,1.03364510543776
"z_323",-0.170851733728524,1.20132430699923
"z_324",0.0312952925765811,0.980201486633719
"z_325",0.0181790102978165,1.23063992120522
"z_326",0.004761886329404,1.17337248811658
